,Genus,S90,S90 MC?,S77,S77 MC?,S81,S81 MC?,S93,S93 MC?,S86,S86 MC?,S78,S78 MC?,S79,S79 MC?,Any_Meet_Criteria?
0,ADurb.Bin063-1,0.0005010378641471,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
1,Acetobacter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0018738288569644,,0.0,,
2,Acidipropionibacterium,0.0,,0.0,,0.0,,0.0,,0.0003541133484636,,0.0,,0.0011327972664302,,
3,Acinetobacter,0.0007515567962207,,0.0,,0.000890919802848,,0.0,,0.0011106282292723,,0.0,,0.005441140968263,,
4,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0,,0.0,,0.0005747869695794,,0.0,,0.0002736330419946,,0.0,,0.0021541718509164,,
5,Aminicenantales,0.0011273351943311,,0.0,,0.0,,0.0,,0.0001448645516442,,0.0001041016031646,,0.0002414158108785,,
6,Aminiphilus,0.0003757783981103,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
7,Aquicella,0.0009841815188604,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
8,Bacillus,0.000823133633956,,0.0,,0.0008047017574111,,0.0001012063800501,,0.0018832391713747,,0.0,,0.0017456220171219,,
9,Bacteroidetes_vadinHA17,0.0017178441056473,,0.0,,8.621804543691e-05,,0.0,,0.0,,0.0,,0.0,,
10,Bifidobacterium,0.0005368262830148,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
11,Brevundimonas,0.0012883830792355,,0.0,,0.000416720552945,,0.0,,0.000321921225876,,0.0,,0.0004642611747664,,
12,Caloramator,0.0292391382148737,1.0,0.0014110023342507,,0.0010346165452429,,0.0020241276010039,,0.0021890643359569,,0.0221736414740787,1.0,0.0272614161822875,1.0,1.0
13,Candidatus_Caldatribacterium,0.0011810178226325,,0.0,,0.0,,0.0002024127601003,,9.65763677628084e-05,,0.0,,0.0004456907277758,,
14,Candidatus_Omnitrophus,0.000715768377353,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
15,Caproiciproducens,0.024354019039438603,1.0,0.003274918998014,,0.0016094035148222,,0.0228321593393244,1.0,0.0068891142337469,,0.1352904434728293,1.0,0.049081691396311404,1.0,1.0
16,Chryseobacterium,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0010956563724488,,
17,Cloacimonadaceae,0.0009841815188604,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
18,Clostridium_sensu_stricto_1,0.50808818266409,1.0,0.5112183395463886,1.0,0.3159747668520352,1.0,0.3349323941381263,1.0,0.1691052199526773,1.0,0.3874453466583382,1.0,0.18384742520752417,1.0,1.0
19,Clostridium_sensu_stricto_10,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0027112852606362,,
20,Clostridium_sensu_stricto_11,0.1770095197194185,1.0,0.1365014110023339,1.0,0.044373554051529096,1.0,0.41441988502955146,1.0,0.3593284723228226,1.0,0.3288986050385171,1.0,0.3072666159074446,1.0,1.0
21,Clostridium_sensu_stricto_12,0.06667382435044,1.0,0.0561787966414659,1.0,0.0451926254831802,1.0,0.08193668528864041,1.0,0.0652534324850708,1.0,0.0791172184051633,1.0,0.06568367100596101,1.0,1.0
22,Clostridium_sensu_stricto_13,0.0091797294395533,,0.0020555342647109003,,0.0015519248178643,,0.0055056270747307,,0.0053599884108358,,0.0059546117010201,,0.0061096770599268,,
23,Clostridium_sensu_stricto_14,0.0013062772886693,,0.0,,0.0,,0.0,,0.0,,0.0005621486570893,,0.0,,
24,Clostridium_sensu_stricto_19,0.001753632524515,,0.0002264571647562,,0.0,,0.0,,0.0,,0.0016239850093691,,0.0006128247506917,,
25,Clostridium_sensu_stricto_5,0.009340777324457601,,0.0002961362923736,,0.0010920952422008,,0.0003845842441907,,0.0009174754937466,,0.0004580470539246,,0.0009842336905049,,
26,Cutibacterium,0.0004473552358456,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
27,Delftia,0.000411566816978,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
28,Dialister,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
29,Enterococcus,0.0022367761792284,,0.0002090373828519,,0.001896796999612,,0.0,,0.0012554927809165,,0.0,,0.0013370721833274,,
30,Escherichia-Shigella,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
31,Flavobacterium,0.0004294610264118,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
32,Incertae_Sedis,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0009099519025422,,
33,JS1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
34,Lactobacillus,0.0030062271848829,,0.012803539699682901,1.0,0.12587834633788847,1.0,0.0365759857501416,1.0,0.16005923350556112,1.0,0.0208203206329377,1.0,0.1056472729298593,1.0,
35,Lactococcus,0.0007873452150883,,0.0,,0.0017387305829775,,0.0,,0.0007404188195148,,0.0,,0.0004828316217571,,
36,Latescibacterota,0.0010020757282943,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
37,Leuconostoc,0.000411566816978,,0.2684736787095427,1.0,0.4499001307640355,1.0,0.09499230831511621,1.0,0.22056432790896088,1.0,0.0048511347074743005,,0.2165871232520567,1.0,
38,Megasphaera,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
39,Mesotoga,0.011165986686708,1.0,0.0009580880047381,,0.0001580664166343,,0.0018014735648935,,0.0002092487968194,,0.0011867582760774,,0.0,,1.0
40,Methanobacterium,0.0287738887695936,1.0,0.0013239034247290002,,0.0023278872267965,,0.0018824386689336,,0.0018188549261994999,,0.0042473454091192,,0.0033983917992904,,1.0
41,Methanolinea,0.0020041514565885,,0.0,,0.0001149573939158,,0.0001619302080803,,0.0,,0.0,,0.0,,
42,Methanosaeta,0.0066745401188173,,0.0006967912761732,,0.0005029385983819,,0.0,,0.0,,0.0,,5.57113409719772e-05,,
43,Microbacterium,0.0002684131415074,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0019127560400378002,,
44,Mitsuokella,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
45,Monoglobus,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0022655945328604,,
46,Olsenella,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
47,Oscillospira,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
48,Parvibaculum,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
49,Phenylobacterium,0.0002147305132059,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
50,Prevotella,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
51,Pseudomonas,0.0523584568033783,1.0,0.001741978190433,,0.0,,0.0007691684883815,,0.0002092487968194,,0.0,,0.00141135397129,,1.0
52,RBG-13-54-9,0.0013599599169707,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
53,Rhodanobacter,0.0004294610264118,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
54,Rhodococcus,0.0,,0.0,,0.001365119052751,,0.0,,0.0,,0.0,,0.0010399450314769,,
55,Rummeliibacillus,0.0,,0.0,,0.0,,0.0,,0.0010623400453908,,0.0039350405996252,,0.0027669966016082,,
56,S-70,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
57,SG8-4,0.0008410278433898,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
58,SN8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
59,Selenomonas,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
60,Simplicispira,0.0019325746188533,,0.0,,0.0,,0.0,,0.0001126724290566,,0.0,,9.28522349532953e-05,,
61,Sphingobacterium,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0008913814555516,,
62,Spirochaeta,0.001843103571684,,0.0,,0.0,,8.09651040401587e-05,,4.82881838814042e-05,,0.0,,0.0,,
63,Stenotrophomonas,0.0005547204924486,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
64,Streptococcus,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
65,Sutterella,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
66,Syntrophobacter,0.0060840312075012,,0.0,,0.0009915075225244,,0.0,,0.0004345936549326,,0.0010826566729127,,0.0012627903953648,,
67,Syntrophomonas,0.0023083530169636,,0.0001741978190433,,0.0,,0.0,,0.0,,0.0001665625650635,,0.0001114226819439,,
68,Syntrophorhabdus,0.0025946603679048,,0.0002612967285649,,0.0001293270681553,,0.0,,0.000160960612938,,0.0,,0.0002785567048598,,
69,Syntrophus,0.0015746904301767,,0.0,,0.0001436967423948,,0.0003441016921706,,0.0,,0.0,,0.0002042749168972,,
70,Thiobacillus,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
71,Unassigned,0.0148164054112087,1.0,0.0008013099675992,,0.0,,0.0,,0.0,,0.0,,0.0018384742520752,,1.0
72,Vermiphilaceae,0.0032388519075225997,,0.0004703341114169,,0.0005029385983819,,0.000526273176261,,0.0,,0.0,,0.0004085498337944,,
73,Williamwhitmania,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
74,Zixibacteria,0.0024694009018681002,,0.0003135560742779,,0.0002730238105502,,0.000526273176261,,0.0,,0.0002082032063293,,0.0003899793868038,,
75,env.OPS_17,0.0006441915396177,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
76,uncultured,0.0111838808961413,1.0,0.0006096923666515138,,0.000474199249903,,0.0,,9.65763677628084e-05,,0.0,,0.0004271202807850953,,1.0
